Id	Input	Output
1057	添 加 了 全 新 红 脉 微 循 环 技 术 ， 比 起 二 代 竞 能 保 持 皮 肤 维 稳 ！	添 加 了 全 新 红 脉 微 循 环 技 术 ， 比 起 二 代 更 能 保 持 皮 肤 维 稳 ！
1058	蒋 精 华 液 和 面 膜 粉 1 ： 1 现 调 现 配 ， 快 速 搅 拌 均 匀 至 无 颗 粒 感 粉 色 软 泥 状 ， 然 后 厚 厚 地 涂 在 脸 上 ，	将 精 华 液 和 面 膜 粉 1 ： 1 现 调 现 配 ， 快 速 搅 拌 均 匀 至 无 颗 粒 感 粉 色 软 泥 状 ， 然 后 厚 厚 地 涂 在 脸 上 ，
1059	后 续 上 妆 不 搓 泥 不 卡 粉 真 的 很 难 的	后 续 上 妆 不 搓 泥 不 卡 粉 真 的 很 难 得
1060	娇 韵 诗 双 萃 精 华 真 薄 真 的 超 好 用 ，	娇 韵 诗 双 萃 精 华 真 的 真 的 超 好 用 ，
1061	3 、 日 常 婴 食 和 作 息 规 律	3 、 日 常 饮 食 和 作 息 规 律
1062	这 个 粉 用 刷 子 轻 扑 一 层 之 后 ， 会 感 觉 脸 部 像 丝 绸 一 样 滑 嫩 ， 换 焦 的 效 果 不 要 太 强 大 ！	这 个 粉 用 刷 子 轻 扑 一 层 之 后 ， 会 感 觉 脸 部 像 丝 绸 一 样 滑 嫩 ， 柔 焦 的 效 果 不 要 太 强 大 ！
1063	我 一 直 下 不 去 的 黑 眼 驱	我 一 直 下 不 去 的 黑 眼 圈
1064	外 面 免 税 店 代 购 单 品 就 4 8 0 ， 喷 巧 赶 上 丝 芙 兰 会 员 有 活 动 ， 差 不 多 的 价 钱 ， 为 什 么 不 买 个 靠 谱 的 正 品 呢 …	外 面 免 税 店 代 购 单 品 就 4 8 0 ， 碰 巧 赶 上 丝 芙 兰 会 员 有 活 动 ， 差 不 多 的 价 钱 ， 为 什 么 不 买 个 靠 谱 的 正 品 呢 …
1065	显 叶 度 和 饱 和 度 都 刚 刚 好 ， 不 会 飞 粉 真 的 绝 了 ， 绝 对 的 物 有 所 值 ！	显 色 度 和 饱 和 度 都 刚 刚 好 ， 不 会 飞 粉 真 的 绝 了 ， 绝 对 的 物 有 所 值 ！
1066	我 入 的 是 柔 和 暖 嫩 肤 色 ， 夏 天 上 脸 也 不 会 粘 稠 ， 妆 前 可 以 隐 形 毛 孔 ， 让 整 个 妆 面 看 起 来 更 干 净 。	我 入 的 是 柔 和 暖 嫩 肤 色 ， 夏 天 上 脸 也 不 会 粘 稠 ， 妆 前 可 以 隐 形 毛 孔 ， 让 整 个 妆 面 看 起 来 更 干 净 。
1067	所 以 呢 ， 是 时 豪 开 始 备 上 防 晒 霜 了	所 以 呢 ， 是 时 候 开 始 备 上 防 晒 霜 了
1068	很 好 控 制 用 量 带 粗 门 也 方 便	很 好 控 制 用 量 带 出 门 也 方 便
1069	3 2 5 是 很 症 的 水 红 色 ， 真 的 很 润 啊 ， 这 个 色 号 非 常 适 合 见 家 长 走 亲 戚 ， 超 显 气 色 ！	3 2 5 是 很 正 的 水 红 色 ， 真 的 很 润 啊 ， 这 个 色 号 非 常 适 合 见 家 长 走 亲 戚 ， 超 显 气 色 ！
1070	低 价 买 到 喜 欢 的 精 华 ， 十 分 高 兴 哈 伐 …	低 价 买 到 喜 欢 的 精 华 ， 十 分 高 兴 哈 哈 …
1071	红 痘 样 和 红 血 丝 都 被 舒 缓 了	红 痘 印 和 红 血 丝 都 被 舒 缓 了
1072	直 到 我 发 现 奥 伦 纳 素 居 然 出 了 一 款 洗 卸 合 一 的 洁 面 入	直 到 我 发 现 奥 伦 纳 素 居 然 出 了 一 款 洗 卸 合 一 的 洁 面 乳
1073	女 孩 知 嘛 ， 就 是 要 对 自 己 好 一 点	女 孩 子 嘛 ， 就 是 要 对 自 己 好 一 点
1074	坚 持 用 下 耐 ， 皮 肤 都 越 来 越 细 腻 光 滑 了	坚 持 用 下 来 ， 皮 肤 都 越 来 越 细 腻 光 滑 了
1075	胶 原 蛋 白 活 滑 物 可 以 修 复 自 由 基 和 紫 外 线 给 皮 肤 带 来 的 伤 害 ， 可 以 增 加 皮 肤 弹 性 ， 充 盈 皮 肤 。	胶 原 蛋 白 活 化 物 可 以 修 复 自 由 基 和 紫 外 线 给 皮 肤 带 来 的 伤 害 ， 可 以 增 加 皮 肤 弹 性 ， 充 盈 皮 肤 。
1076	按 压 瓶 设 计 使 用 起 来 很 方 便 用 量 很 好 控 斐	按 压 瓶 设 计 使 用 起 来 很 方 便 用 量 很 好 控 制
1077	二 冯 回 购 红 腰 子 升 级 版 维 稳 绝 绝 子	二 次 回 购 红 腰 子 升 级 版 维 稳 绝 绝 子
1078	今 天 是 来 分 享 一 期 关 于 芳 晒 的 横 评 的	今 天 是 来 分 享 一 期 关 于 防 晒 的 横 评 的
1079	好 像 中 间 又 夹 杂 着 丝 丝 薄 荷 提 味 道 ！	好 像 中 间 又 夹 杂 着 丝 丝 薄 荷 的 味 道 ！
1080	沁 凉 冰 淇 临 霜 质 地 ， 提 升 底 妆 持 久 续 航 ！	沁 凉 冰 淇 淋 霜 质 地 ， 提 升 底 妆 持 久 续 航 ！
1081	因 为 可 以 溶 解 油 脂 和 剥 脱 老 废 角 质 所 以 也 策 是 新 手 刷 酸 精 华 啦 ！	因 为 可 以 溶 解 油 脂 和 剥 脱 老 废 角 质 所 以 也 算 是 新 手 刷 酸 精 华 啦 ！
1082	分 享 你 们 让 夏 日 发 型 变 得 很 有 造 型 感 的 叫 秘 密 ！	分 享 你 们 让 夏 日 发 型 变 得 很 有 造 型 感 的 小 秘 密 ！
1083	我 试 了 一 下 薄 涂 咬 唇 可 开 了 新 世 界 ！	我 试 了 一 下 薄 涂 咬 唇 打 开 了 新 世 界 ！
1084	欧 珑 可 以 去 丝 芙 斓 闻 一 下 ！	欧 珑 可 以 去 丝 芙 兰 闻 一 下 ！
1085	加 固 肌 肤 屏 障 、 维 问 皮 肤 也 是 把 好 手	加 固 肌 肤 屏 障 、 维 稳 皮 肤 也 是 把 好 手
1086	身 为 无 限 回 购 艾 丽 賬 卸 妆 膏 的 超 级 粉 丝 ， 我 对 艾 丽 美 卸 妆 膏 家 族 中 的 每 款 产 品 都 爱 不 释 手 。	身 为 无 限 回 购 艾 丽 美 卸 妆 膏 的 超 级 粉 丝 ， 我 对 艾 丽 美 卸 妆 膏 家 族 中 的 每 款 产 品 都 爱 不 释 手 。
1087	加 上 工 作 关 系 熬 夜 是 家 常 便 饭 ， 皮 肤 一 直 处 于 不 稳 定 的 状 态 ， 导 致 了 皮 肤 暗 沉 、 粗 糙 、 干 痒 、 泛 红 、 毛 孔 粗 贷 等 一 系 列 问 题 。	加 上 工 作 关 系 熬 夜 是 家 常 便 饭 ， 皮 肤 一 直 处 于 不 稳 定 的 状 态 ， 导 致 了 皮 肤 暗 沉 、 粗 糙 、 干 痒 、 泛 红 、 毛 孔 粗 大 等 一 系 列 问 题 。
1088	因 为 握 很 “ 心 机 ” 遮 的 干 净 且 轻 薄	因 为 我 很 “ 心 机 ” 遮 的 干 净 且 轻 薄
1089	这 块 颜 色 其 实 时 香 槟 偏 金 色 的 感 觉 所 以 看 起 来 暖 暖 的 粉 质 也 很 细 配 甚 这 个 花 纹 我 都 不 忍 心 碰 哈 哈	这 块 颜 色 其 实 时 香 槟 偏 金 色 的 感 觉 所 以 看 起 来 暖 暖 的 粉 质 也 很 细 配 上 这 个 花 纹 我 都 不 忍 心 碰 哈 哈
1090	找 到 合 适 的 精 话 真 的 感 人 ！	找 到 合 适 的 精 华 真 的 感 人 ！
1091	香 气 也 是 有 一 点 香 甜 . 侯 想 吃 一 口 ， 哈 哈 哈	香 气 也 是 有 一 点 香 甜 . 好 想 吃 一 口 ， 哈 哈 哈
1092	有 涂 出 来 偏 闘 和 偏 砖 红 的	有 涂 出 来 偏 橘 和 偏 砖 红 的
1093	双 管 水 油 分 离 、 避 免 入 化 剂	双 管 水 油 分 离 、 避 免 乳 化 剂
1094	我 要 坚 持 ， 亮 成 一 到 光 ！	我 要 坚 持 ， 亮 成 一 道 光 ！
1095	这 个 娇 兰 粉 底 液 瓶 子 就 很 不 错 ， 我 一 眼 相 中 了 它 ， 涂 在 脸 上 也 比 较 保 湿 水 润 ， 例 面 有 天 然 的 成 分 来 养 肤 的 同 时 也 不 会 出 现 卡 粉 状 况 。	这 个 娇 兰 粉 底 液 瓶 子 就 很 不 错 ， 我 一 眼 相 中 了 它 ， 涂 在 脸 上 也 比 较 保 湿 水 润 ， 里 面 有 天 然 的 成 分 来 养 肤 的 同 时 也 不 会 出 现 卡 粉 状 况 。
1096	而 且 有 抗 出 老 的 作 用 。	而 且 有 抗 初 老 的 作 用 。
1097	含 有 荔 枝 中 丰 富 泊 氨 基 酸 成 分	含 有 荔 枝 中 丰 富 的 氨 基 酸 成 分
1098	无 论 复 古 女 孩 还 靛 气 场 女 王 都 适 合 。	无 论 复 古 女 孩 还 是 气 场 女 王 都 适 合 。
1099	洗 脸 一 点 都 不 拔 干 ， 有 细 小 的 颗 粒 ， 在 脸 上 摩 擦 ， 可 以 去 油 ， 缩 小 毛 孔 。	洗 脸 一 点 都 不 拔 干 ， 有 细 小 的 颗 粒 ， 在 脸 上 摩 擦 ， 可 以 去 油 ， 缩 小 毛 孔 。
1100	回 福 建 以 后 脸 马 上 就 过 敏 了 ， 红 点 点 黑 眼 圈 一 沈 就 能 遮 掉 ！	回 福 建 以 后 脸 马 上 就 过 敏 了 ， 红 点 点 黑 眼 圈 一 层 就 能 遮 掉 ！
1101	我 的 皮 肤 是 属 于 比 较 琉 感 的 ， 经 常 会 泛 红	我 的 皮 肤 是 属 于 比 较 敏 感 的 ， 经 常 会 泛 红
1102	太 官 方 的 我 就 不 砝 说 了 ， 今 天 只 唠 干 货 ！	太 官 方 的 我 就 不 多 说 了 ， 今 天 只 唠 干 货 ！
1103	透 明 凝 胶 ， 三 面 刷 头 ， 刷 掘 野 生 眉	透 明 凝 胶 ， 三 面 刷 头 ， 刷 出 野 生 眉
1104	我 在 丝 辅 兰 官 网 入 手 的	我 在 丝 芙 兰 官 网 入 手 的
1105	肌 肤 静 拉 效 果 真 心 是 肉 眼 可 见 ！	肌 肤 提 拉 效 果 真 心 是 肉 眼 可 见 ！
1106	加 皮 肤 旦 性 ， 强 韧 肌 底	加 皮 肤 弹 性 ， 强 韧 肌 底
1107	昨 晚 再 试 了 一 下 睡 前 擦 了 像 面 霜 一 样 薄 薄 一 层 去 睡 觉 起 床 看 脸 真 的 好 绝 希 望 我 的 毛 孔 定 格 载 此 刻 皮 肤 很 嫩 很 紧 致	昨 晚 再 试 了 一 下 睡 前 擦 了 像 面 霜 一 样 薄 薄 一 层 去 睡 觉 起 床 看 脸 真 的 好 绝 希 望 我 的 毛 孔 定 格 在 此 刻 皮 肤 很 嫩 很 紧 致
1108	终 有 一 个 好 用 低 精 华 乳 来 配 我 的 爽 肤 水 了 ！	终 有 一 个 好 用 的 精 华 乳 来 配 我 的 爽 肤 水 了 ！
1109	到 了 后 调 又 有 点 甜 ， 像 雨 后 的 泥 土 ， 似 有 司 无 的 气 息 萦 绕 ， 没 有 木 质 调 的 粗 糙 感 。	到 了 后 调 又 有 点 甜 ， 像 雨 后 的 泥 土 ， 似 有 似 无 的 气 息 萦 绕 ， 没 有 木 质 调 的 粗 糙 感 。
1110	要 是 早 点 发 现 这 个 软 件 酒 好 了 ！	要 是 早 点 发 现 这 个 软 件 就 好 了 ！
1111	常 年 受 痘 痘 黑 头 粉 刺 昆 扰 的 我	常 年 受 痘 痘 黑 头 粉 刺 困 扰 的 我
1112	好 温 绕 哇 ， 也 很 显 白 ， 我 素 颜 和 淡 妆 的 时 候 很 爱 涂 这 只 ， 我 是 白 皮 浅 唇 ， 在 我 嘴 上 还 挺 显 色 的 ， 我 看 深 唇 宝 宝 们 说 好 像 不 大 行 哦	好 温 柔 哇 ， 也 很 显 白 ， 我 素 颜 和 淡 妆 的 时 候 很 爱 涂 这 只 ， 我 是 白 皮 浅 唇 ， 在 我 嘴 上 还 挺 显 色 的 ， 我 看 深 唇 宝 宝 们 说 好 像 不 大 行 哦
1113	真 的 很 补 水 ， 吸 搜 很 快	真 的 很 补 水 ， 吸 收 很 快
1114	朋 友 推 荐 了 馥 绿 德 雅 护 发 液 ， 恻 雾 喷 头 ， 特 别 方 便 ， 随 时 随 地 都 可 以 喷 一 喷 ， 让 发 丝 变 得 坚 韧	朋 友 推 荐 了 馥 绿 德 雅 护 发 液 ， 喷 雾 喷 头 ， 特 别 方 便 ， 随 时 随 地 都 可 以 喷 一 喷 ， 让 发 丝 变 得 坚 韧
1115	瓶 身 好 干 净 在 门 店 闻 了 以 后 念 念 不 忘 清 新 的 柑 橘 香 香 气 香 甜 又 清 爽 不 绘 过 分 阴 柔 适 合 阳 光 大 男 孩 也 适 合 清 新 小 女 生	瓶 身 好 干 净 在 门 店 闻 了 以 后 念 念 不 忘 清 新 的 柑 橘 香 香 气 香 甜 又 清 爽 不 会 过 分 阴 柔 适 合 阳 光 大 男 孩 也 适 合 清 新 小 女 生
1116	状 态 不 假 时 ， 连 续 厚 涂 三 天 ， 你 就 看 到 有 惊 喜 出 现 ！	状 态 不 佳 时 ， 连 续 厚 涂 三 天 ， 你 就 看 到 有 惊 喜 出 现 ！
1117	它 是 真 正 地 耙 透 明 质 酸 利 用 到 位	它 是 真 正 地 把 透 明 质 酸 利 用 到 位
1118	很 多 博 主 司 为 了 让 我 们 看 到 高 光 的 光 泽 和 颜 色 才 会 夸 张 的 展 示 ！	很 多 博 主 是 为 了 让 我 们 看 到 高 光 的 光 泽 和 颜 色 才 会 夸 张 的 展 示 ！
1119	绝 了 ， 竟 然 有 店 好 看 ！	绝 了 ， 竟 然 有 点 好 看 ！
1120	再 搭 配 这 款 透 明 质 酸 乳 肌 肤 不 仅 锁 水 能 力 增 强 还 有 提 亮 肤 圾 的 效 果	再 搭 配 这 款 透 明 质 酸 乳 肌 肤 不 仅 锁 水 能 力 增 强 还 有 提 亮 肤 色 的 效 果
1121	达 达 也 不 画 眼 妆 只 画 卧 蚕 眼 线 駭 毛 膏	达 达 也 不 画 眼 妆 只 画 卧 蚕 眼 线 睫 毛 膏
1122	在 美 印 看 到 有 狰 妹 发 就 果 断 在 丝 芙 兰 入 手 了 ，	在 美 印 看 到 有 姐 妹 发 就 果 断 在 丝 芙 兰 入 手 了 ，
1123	无 油 配 坊 的 设 计 ， 对 混 油 皮 友 好	无 油 配 方 的 设 计 ， 对 混 油 皮 友 好
1124	质 提 超 水 润 乳 霜 肤 感 但 是 不 油 完 全 不 粘 腻 ！	质 地 超 水 润 乳 霜 肤 感 但 是 不 油 完 全 不 粘 腻 ！
1125	在 柜 台 试 了 一 鼠 感 觉 好 好 用 ！	在 柜 台 试 了 一 片 感 觉 好 好 用 ！
1126	在 丝 芙 览 美 印 社 区 种 草 的 玛 丽 黛 佳 4 1 7 ， 我 觉 得 太 美 了 ！	在 丝 芙 兰 美 印 社 区 种 草 的 玛 丽 黛 佳 4 1 7 ， 我 觉 得 太 美 了 ！
1127	使 用 方 法 ： 我 一 般 是 在 爽 肤 水 之 后 使 内 ， 这 会 它 让 效 果 翻 5 倍 哦 ！	使 用 方 法 ： 我 一 般 是 在 爽 肤 水 之 后 使 用 ， 这 会 它 让 效 果 翻 5 倍 哦 ！
1128	质 地 挺 好 推 开 梯 ， 比 较 润 呢	质 地 挺 好 推 开 的 ， 比 较 润 呢
1129	但 如 果 一 天 对 瘙 电 脑 的 话 ， 6 个 小 时 之 后 鼻 翼 些 许 脱 妆 。	但 如 果 一 天 对 着 电 脑 的 话 ， 6 个 小 时 之 后 鼻 翼 些 许 脱 妆 。
1130	滋 润 独 很 好 ， 就 算 不 要 唇 部 打 底 ， 也 可 以 很 好 上 色 。	滋 润 度 很 好 ， 就 算 不 要 唇 部 打 底 ， 也 可 以 很 好 上 色 。
1131	拿 到 手 后 立 马 用 了 起 萃 ， 感 觉 真 不 戳 ！	拿 到 手 后 立 马 用 了 起 来 ， 感 觉 真 不 戳 ！
1132	众 所 周 知 视 黄 醇 是 最 有 效 的 抗 老 成 很 ， 但 是 也 很 多 人 不 耐 受 。	众 所 周 知 视 黄 醇 是 最 有 效 的 抗 老 成 分 ， 但 是 也 很 多 人 不 耐 受 。
1133	这 两 个 比 前 面 的 贵 蛭 些	这 两 个 比 前 面 的 贵 一 些
1134	整 个 精 神 状 态 感 觉 都 年 辎 了 ！	整 个 精 神 状 态 感 觉 都 年 轻 了 ！
1135	坐 工 完 全 符 合 价 格 ， 哈 哈 。	做 工 完 全 符 合 价 格 ， 哈 哈 。
1136	我 就 入 手 了 丝 芙 兰 乳 仪	我 就 入 手 了 丝 芙 兰 乳 液
1137	还 可 以 达 到 护 肤 替 效 果	还 可 以 达 到 护 肤 的 效 果
1138	脸 颊 才 出 现 的 泛 红 陶 直 接 淡 退	脸 颊 才 出 现 的 泛 红 都 直 接 淡 退
1139	上 脸 贴 合 脸 嚴 滋 润 我 配 合 美 容 仪 用	上 脸 贴 合 脸 部 滋 润 我 配 合 美 容 仪 用
1140	敏 感 皮 必 现 “ 红 腰 子 ” ！	敏 感 皮 必 入 “ 红 腰 子 ” ！
1141	活 尽 ， 我 选 的 是 白 色 活 芯 ， 因 为 夏 天 要 到 了 ！	活 芯 ， 我 选 的 是 白 色 活 芯 ， 因 为 夏 天 要 到 了 ！
1142	主 要 成 分 是 红 白 牡 丹 、 野 人 参 、 藏 洪 花 、 珍 珠 粉 ；	主 要 成 分 是 红 白 牡 丹 、 野 人 参 、 藏 红 花 、 珍 珠 粉 ；
1143	底 端 徬 可 以 按 摩 头 皮 ，	底 端 还 可 以 按 摩 头 皮 ，
1144	带 点 细 微 的 闪 最 近 什 么 鸽 膏 都 想 拿 这 支 叠 涂 一 下	带 点 细 微 的 闪 最 近 什 么 唇 膏 都 想 拿 这 支 叠 涂 一 下
1145	夏 天 用 也 猡 是 蛮 清 爽 的	夏 天 用 也 还 是 蛮 清 爽 的
1146	真 的 超 级 正 超 级 显 白 的 红 社	真 的 超 级 正 超 级 显 白 的 红 色
1147	几 块 偏 光 色 美 的 芋 行 ！	几 块 偏 光 色 美 的 不 行 ！
1148	打 造 约 会 妆 容 逼 备 ， 小 仙 女 们 画 起 来 吧	打 造 约 会 妆 容 必 备 ， 小 仙 女 们 画 起 来 吧
1149	正 好 有 1 5 周 年 限 定 版 本 豺 就 入 啦 ！	正 好 有 1 5 周 年 限 定 版 本 的 就 入 啦 ！
1150	所 以 今 天 就 单 纯 评 价 下 使 用 体 验 ， 相 对 女 款 来 说 ， 黑 色 款 振 体 上 花 香 和 木 质 香 结 合 。	所 以 今 天 就 单 纯 评 价 下 使 用 体 验 ， 相 对 女 款 来 说 ， 黑 色 款 整 体 上 花 香 和 木 质 香 结 合 。
1151	闻 有 玻 色 因 加 高 浓 活 性 玫 瑰 精 粹 成 分 ，	拥 有 玻 色 因 加 高 浓 活 性 玫 瑰 精 粹 成 分 ，
1152	臭 男 人 什 么 都 不 懂 ， 之 前 乱 用 香 皂 洗 脸 ， 脸 上 经 常 长 痘 、 其 皮 ， 还 有 黑 头 。	臭 男 人 什 么 都 不 懂 ， 之 前 乱 用 香 皂 洗 脸 ， 脸 上 经 常 长 痘 、 起 皮 ， 还 有 黑 头 。
1153	颜 值 实 力 都 满 分 ， 退 荐 ！	颜 值 实 力 都 满 分 ， 推 荐 ！
1154	而 且 系 肤 看 上 去 嫩 了 很 多 ，	而 且 肌 肤 看 上 去 嫩 了 很 多 ，
1155	乳 液 流 动 性 很 好 ， 上 脸 不 粘 泥 。	乳 液 流 动 性 很 好 ， 上 脸 不 粘 腻 。
1156	我 换 季 敏 感 时 期 的 肌 肤 问 题 都 是 靠 它 来 解 角 的 ， 敏 感 期 、 爆 痘 期 、 不 稳 定 期 等 等 ， 真 的 千 万 别 停 产 ！	我 换 季 敏 感 时 期 的 肌 肤 问 题 都 是 靠 它 来 解 决 的 ， 敏 感 期 、 爆 痘 期 、 不 稳 定 期 等 等 ， 真 的 千 万 别 停 产 ！
1157	很 多 姐 妹 都 觉 得 化 妆 群 伤 皮 肤	很 多 姐 妹 都 觉 得 化 妆 很 伤 皮 肤
1158	敷 个 1 0 几 分 钟 小 脸 蛋 立 马 就 何 饱 饱	敷 个 1 0 几 分 钟 小 脸 蛋 立 马 就 喝 饱 饱
1159	夏 天 最 爱 用 最 好 用 的 气 垫 ， 没 有 灸 一 。	夏 天 最 爱 用 最 好 用 的 气 垫 ， 没 有 之 一 。
1160	可 以 用 在 钡 骨 上 ， 女 孩 子 的 小 心 机 嘻 嘻	可 以 用 在 锁 骨 上 ， 女 孩 子 的 小 心 机 嘻 嘻
1161	这 个 白 色 的 流 动 性 比 较 强 ， 有 点 点 泛 白 ， 但 是 挺 自 然 的 ， 上 脸 会 觉 得 皮 肤 很 好 ， 不 油 腻 ， 比 安 耐 晒 和 蓝 胖 子 使 用 感 好 。	这 个 白 色 的 流 动 性 比 较 强 ， 有 点 点 泛 白 ， 但 是 挺 自 然 的 ， 上 脸 会 觉 得 皮 肤 很 好 ， 不 油 腻 ， 比 安 耐 晒 和 蓝 胖 子 使 用 感 好 。
1162	好 涂 妥 妥 的 正 红 色 气 场 全 开	厚 涂 妥 妥 的 正 红 色 气 场 全 开
1163	一 股 子 阳 光 刚 晒 干 洗 过 的 校 服 味 道 加 上 一 点 点 墨 碎 质 感 的 味 道 ， 木 质 香 很 有 书 卷 气 …	一 股 子 阳 光 刚 晒 干 洗 过 的 校 服 味 道 加 上 一 点 点 墨 水 质 感 的 味 道 ， 木 质 香 很 有 书 卷 气 …
1164	本 人 用 香 水 机 会 不 多 ， 不 喜 欢 浓 香 型 ， 这 款 淡 淡 的 花 香 真 的 适 合 夏 天 ， 可 以 让 人 琥 静 下 来 ！	本 人 用 香 水 机 会 不 多 ， 不 喜 欢 浓 香 型 ， 这 款 淡 淡 的 花 香 真 的 适 合 夏 天 ， 可 以 让 人 沉 静 下 来 ！
1165	上 脸 后 的 妆 感 也 很 喜 人 ， 阵 的 是 超 级 超 级 服 帖 ！	上 脸 后 的 妆 感 也 很 喜 人 ， 真 的 是 超 级 超 级 服 帖 ！
1166	丝 芙 斓 的 蚕 丝 面 膜 也 太 好 用 了 吧	丝 芙 兰 的 蚕 丝 面 膜 也 太 好 用 了 吧
1167	导 致 皮 肤 缺 水 的 很 厉 孩 ， 光 简 单 的 护 肤 不 太 够	导 致 皮 肤 缺 水 的 很 厉 害 ， 光 简 单 的 护 肤 不 太 够
1168	里 面 含 有 透 明 质 酸 . 谌 起 保 湿 屏 障 .	里 面 含 有 透 明 质 酸 . 筑 起 保 湿 屏 障 .
1169	它 的 质 地 是 比 较 润 润 的 ， 涂 在 嘴 上 很 耀 光 泽 感	它 的 质 地 是 比 较 润 润 的 ， 涂 在 嘴 上 很 有 光 泽 感
1170	是 丝 芙 兰 的 第 三 代 嵇 丝 面 膜	是 丝 芙 兰 的 第 三 代 蚕 丝 面 膜
1171	来 给 大 美 女 们 推 荐 超 好 用 的 护 肤 产 品 纳 ！	来 给 大 美 女 们 推 荐 超 好 用 的 护 肤 产 品 啦 ！
1172	丰 富 踢 氨 基 酸 能 紧 致 毛 孔	丰 富 的 氨 基 酸 能 紧 致 毛 孔
1173	而 且 他 说 爷 非 常 适 合 我 这 种 大 干 皮 ， 用 起 来 真 的 奶 油 肌 ， 然 后 我 去 逛 了 一 条 街 晚 上 回 去 妆 效 还 是 很 完 整 持 久 力 度 真 的 可 以	而 且 他 说 也 非 常 适 合 我 这 种 大 干 皮 ， 用 起 来 真 的 奶 油 肌 ， 然 后 我 去 逛 了 一 条 街 晚 上 回 去 妆 效 还 是 很 完 整 持 久 力 度 真 的 可 以
1174	嘻 嘻 ， 被 吸 引 过 茉 啦 ！	嘻 嘻 ， 被 吸 引 过 来 啦 ！
1175	冷 热 交 替 就 不 说 ， 南 方 勺 天 气 还 时 不 时 下 点 雨 ，	冷 热 交 替 就 不 说 ， 南 方 的 天 气 还 时 不 时 下 点 雨 ，
1176	因 为 自 己 是 黑 卡 可 以 踏 8 折 果 断 拿 下 太 优 秀 了 ！	因 为 自 己 是 黑 卡 可 以 打 8 折 果 断 拿 下 太 优 秀 了 ！
1177	遮 瑕 力 还 不 错 ， 也 美 有 出 现 卡 纹 的 问 题	遮 瑕 力 还 不 错 ， 也 没 有 出 现 卡 纹 的 问 题
1178	小 心 机 来 了 ， 液 恺 眼 影 点 在 眼 下 后 部 分	小 心 机 来 了 ， 液 体 眼 影 点 在 眼 下 后 部 分
1179	没 想 到 香 水 让 我 二 目 一 新 。	没 想 到 香 水 让 我 耳 目 一 新 。
1180	蛋 清 质 地 ， 延 展 性 好 ， 易 推 开 上 脸 很 水 润 ， 吸 收 快 一 点 都 不 闷 脸 蛋 ， 绝 绝 子	蛋 清 质 地 ， 延 展 性 好 ， 易 推 开 上 脸 很 水 润 ， 吸 收 快 一 点 都 不 闷 脸 蛋 ， 绝 绝 子
1181	在 静 置 的 恃 候 也 不 会 沉 到 底 部	在 静 置 的 时 候 也 不 会 沉 到 底 部
1182	唇 妆 嗎 分 ： 丝 芙 兰 染 唇 膏 2 9 叠 加 6 0 ；	唇 妆 部 分 ： 丝 芙 兰 染 唇 膏 2 9 叠 加 6 0 ；
1183	干 皮 本 人 用 它 完 全 不 杆 。	干 皮 本 人 用 它 完 全 不 干 。
1184	高 级 的 柔 焦 感 妆 效 ， 非 常 清 透 自 然 ， 太 适 合 用 来 日 常 出 门 啦 ， 见 直 是 伪 素 颜 提 肤 色 神 器 。	高 级 的 柔 焦 感 妆 效 ， 非 常 清 透 自 然 ， 太 适 合 用 来 日 常 出 门 啦 ， 简 直 是 伪 素 颜 提 肤 色 神 器 。
1185	哑 光 磨 砂 宽 配 上 烫 金 星 辰 !	哑 光 磨 砂 管 配 上 烫 金 星 辰 !
1186	非 常 温 和 但 示 洗 的 很 干 净	非 常 温 和 但 是 洗 的 很 干 净
1187	是 上 下 两 层 的 上 面 是 金 色 亮 片 下 面 是 眼 影 膏 超 级 软 糯 的 质 沁 很 好 推 开 两 个 叠 涂 美 的 不 行 ！	是 上 下 两 层 的 上 面 是 金 色 亮 片 下 面 是 眼 影 膏 超 级 软 糯 的 质 地 很 好 推 开 两 个 叠 涂 美 的 不 行 ！
1188	我 用 过 这 么 多 种 维 稳 户 肤 品 来 说	我 用 过 这 么 多 种 维 稳 护 肤 品 来 说
1189	说 是 比 较 简 单 的 成 分 枸 且 非 常 天 然	说 是 比 较 简 单 的 成 分 而 且 非 常 天 然
1190	哇 这 只 遮 瑕 效 果 不 错 ， 一 定 药 买 它 ， 非 常 好 用	哇 这 只 遮 瑕 效 果 不 错 ， 一 定 要 买 它 ， 非 常 好 用
1191	用 过 好 几 瓶 红 腰 子 了 ， 维 肛 绝 绝 子 ！	用 过 好 几 瓶 红 腰 子 了 ， 维 稳 绝 绝 子 ！
1192	化 妆 撒 撒 水 ， 拍 照 类 吐 血 ， 文 案 要 我 命 。	化 妆 撒 撒 水 ， 拍 照 累 吐 血 ， 文 案 要 我 命 。
1193	质 地 ： 很 独 得 的 柔 雾 感 ， 上 嘴 像 是 奶 油 ， 不 拔 干	质 地 ： 很 独 特 的 柔 雾 感 ， 上 嘴 像 是 奶 油 ， 不 拔 干
1194	丝 芙 兰 荔 枝 弹 嫩 焕 炎 蚕 丝 面 膜 .	丝 芙 兰 荔 枝 弹 嫩 焕 颜 蚕 丝 面 膜 .
